id,name,smiles,formula
209,W022-1_RR,C[C@H](c1[cH-]ccc1-c1ccccc1P(c1ccccc1)c1ccccc1)P([C@@H]1C[C@@H]2CC[C@H]1C2)[C@@H]1C[C@@H]2CC[C@H]1C2.[Fe+2].c1cc[cH-]c1,C44H48FeP2
211,W022-1_SS,C[C@H](c1[cH-]ccc1-c1ccccc1P(c1ccccc1)c1ccccc1)P([C@H]1C[C@@H]2CC[C@H]1C2)[C@H]1C[C@@H]2CC[C@H]1C2.[Fe+2].c1cc[cH-]c1,C44H48FeP2
213,W023-1_RR,COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)c2ccccc2-c2cc[cH-]c2[C@@H](C)P([C@@H]2C[C@@H]3CC[C@H]2C3)[C@@H]2C[C@@H]3CC[C@H]2C3)cc1C.[Fe+2].c1cc[cH-]c1,C50H60FeO2P2
214,W023-1_RS,COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)c2ccccc2-c2cc[cH-]c2[C@@H](C)P([C@H]2C[C@@H]3CC[C@H]2C3)[C@@H]2C[C@@H]3CC[C@H]2C3)cc1C.[Fe+2].c1cc[cH-]c1,C50H60FeO2P2
215,W023-1_SS,COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)c2ccccc2-c2cc[cH-]c2[C@@H](C)P([C@H]2C[C@@H]3CC[C@H]2C3)[C@H]2C[C@@H]3CC[C@H]2C3)cc1C.[Fe+2].c1cc[cH-]c1,C50H60FeO2P2
216,W023-1_SR,COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)c2ccccc2-c2cc[cH-]c2[C@@H](C)P([C@H]2C[C@@H]3CC[C@H]2C3)[C@@H]2C[C@@H]3CC[C@H]2C3)cc1C.[Fe+2].c1cc[cH-]c1,C50H60FeO2P2
217,W025-1,COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)c2ccccc2-c2cc[cH-]c2[C@@H](C)P(C(C)(C)C)C(C)(C)C)cc1C.[Fe+2].c1cc[cH-]c1,C44H56FeO2P2
218,W026-1,C[C@H](c1[cH-]ccc1-c1ccccc1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)P(C(C)(C)C)C(C)(C)C.[Fe+2].c1cc[cH-]c1,C42H40F12FeP2
219,W031-1_RR,C[C@H](c1[cH-]ccc1-c1ccccc1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)P([C@@H]1C[C@@H]2CC[C@H]1C2)[C@@H]1C[C@@H]2CC[C@H]1C2.[Fe+2].c1cc[cH-]c1,C48H44F12FeP2
220,W031-1_RS,C[C@H](c1[cH-]ccc1-c1ccccc1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)P([C@H]1C[C@@H]2CC[C@H]1C2)[C@@H]1C[C@@H]2CC[C@H]1C2.[Fe+2].c1cc[cH-]c1,C48H44F12FeP2
